...1,species,treatment,animal_id,sl,size,activity
1,ambon,CO2,64,56.98794481,big,8.147368421
2,ambon,CO2,65,38.2381647,big,10.50526316
3,ambon,CO2,67,39.30947208,big,6.513043478
4,ambon,CO2,68,36.07154769,big,27.83636364
5,lemon,CO2,74,36.43578302,big,36.6826087
6,ambon,CO2,75,35.88814447,big,42.79615385
7,lemon,CO2,81,35.7285803,big,21.92083333
8,ambon,CO2,84,38.36064277,big,24.58148148
10,ambon,CO2,85,48.2550872,big,35.07777778
11,ambon,CO2,88,43.36113625,big,1.025
12,ambon,CO2,89,36.28112199,big,9.113636364
13,ambon,CO2,91,47.85619659,big,10.88148148
14,ambon,CO2,92,39.30947208,big,5.283333333
15,ambon,CO2,160,37.02660555,big,19.81153846
16,ambon,CO2,163,38.66295081,big,18.94074074
17,ambon,CO2,164,38.17658447,big,22.46296296
18,chromis,CO2,221,40.64453056,big,14.91111111
19,chromis,CO2,222,61.07238835,big,21.21481481
20,acantho,CO2,223,92.53241927,big,3.659259259
21,acantho,CO2,224,52.44944927,big,28.91818182
22,acantho,CO2,225,68.79863616,big,10.75185185
23,acantho,CO2,226,63.27101109,big,14.14444444
24,acantho,CO2,231,71.43736113,big,11.99259259
25,acantho,CO2,232,78.30826232,big,8.074074074
26,acantho,CO2,233,51.29021387,big,30.4
27,chromis,CO2,234,45.51980643,big,30.76666667
28,humbug,CO2,236,37.66181177,big,15.41481481
29,chromis,CO2,241,39.64468444,big,15.08461538
30,acantho,CO2,245,50.68610929,big,39.8875
31,humbug,CO2,246,51.13223406,big,9.151851852
32,humbug,CO2,259,70.81238123,big,7.97037037
33,humbug,CO2,261,43.69046951,big,23.16296296
36,humbug,CO2,268,63.89885753,big,34.71481481
37,humbug,CO2,271,46.46712463,big,39.81481481
38,humbug,CO2,272,48.95953171,big,16.32592593
39,humbug,CO2,275,41.5364471,big,27.05925926
40,lemon,control,51,35.96739925,big,4.68
41,lemon,control,116,38.4083544,big,9.727272727
42,lemon,control,122,38.26908362,big,2.613043478
43,ambon,control,124,45.61380414,big,30.96923077
44,ambon,control,125,37.48352844,big,20.14347826
45,ambon,control,132,36.6920814,big,9.753846154
46,ambon,control,133,43.36113625,big,7.876470588
47,ambon,control,134,41.11481904,big,7.966666667
48,ambon,control,140,62.60738222,big,12.84444444
49,ambon,control,142,42.51461402,big,18.728
50,ambon,control,143,43.31510183,big,15.01481481
51,ambon,control,144,40.90564504,big,1.0625
52,ambon,control,147,44.12702366,big,36.43333333
53,ambon,control,148,35.20376295,big,11.18571429
54,ambon,control,149,35.85912348,big,38.22692308
55,ambon,control,151,37.92794013,big,28.11538462
56,ambon,control,152,43.68026205,big,17.92592593
57,acantho,control,179,78.12881175,big,1.968
58,chromis,control,182,38.19244575,big,32.476
59,chromis,control,183,47.60279718,big,33.325
60,chromis,control,184,35.2513497,big,25.85333333
61,chromis,control,186,44.65884274,big,23.03703704
62,acantho,control,188,50.42919693,big,7.003846154
63,acantho,control,189,72.09982093,big,7.403703704
64,acantho,control,190,50.11667687,big,22.944
65,chromis,control,193,37.6824722,big,25.34210526
66,chromis,control,195,46.07585245,big,23.44074074
67,acantho,control,197,89.29884683,big,1.425925926
68,chromis,control,200,35.48665,big,26.82631579
69,chromis,control,203,47.21410865,big,33.2047619
70,humbug,control,206,55.55920302,big,1.418518519
71,humbug,control,207,38.3030582,big,22.61111111
72,acantho,control,211,76.16241497,big,6.359259259
75,acantho,control,212,51.24052455,big,18.30588235
76,acantho,control,213,64.92382956,big,3.011111111
77,humbug,control,214,67.10209218,big,33.27037037
78,humbug,control,217,42.7792461,big,35.93703704
79,humbug,control,247,61.63505358,big,33.356
80,humbug,control,248,38.92450354,big,9.936363636
81,humbug,control,250,37.77994742,big,24.62222222
82,humbug,control,253,46.26770195,big,14.3962963
83,humbug,control,256,36.12151082,big,9.185185185
84,humbug,control,257,43.77962195,big,14.02592593
85,humbug,CO2,110,43,big,34.21891892
86,humbug,CO2,115,39,big,38.72972973
87,humbug,CO2,120,41,big,33.65405405
88,humbug,CO2,125,40,big,53.13513514
89,humbug,CO2,130,44,big,51.10810811
90,humbug,CO2,140,41,big,54.75945946
91,humbug,CO2,145,36,big,30.87837838
92,humbug,CO2,150,40,big,36.1027027
93,humbug,CO2,155,40,big,45.36756757
